[1771249592] Unsolved: 1000 | Queue: 0 | Processing: 0 | Solved: 0
[1771249644] Unsolved: 470 | Queue: 0 | Processing: 0 | Solved: 530
[1771249645] Unsolved: 456 | Queue: 0 | Processing: 0 | Solved: 544
[1771249646] Unsolved: 440 | Queue: 0 | Processing: 0 | Solved: 560
[1771249647] Unsolved: 430 | Queue: 0 | Processing: 0 | Solved: 570
[1771249648] Unsolved: 430 | Queue: 0 | Processing: 0 | Solved: 570
[1771249650] Unsolved: 430 | Queue: 0 | Processing: 0 | Solved: 570
[1771249651] Unsolved: 420 | Queue: 0 | Processing: 0 | Solved: 580
[1771249652] Unsolved: 410 | Queue: 0 | Processing: 0 | Solved: 590
[1771249653] Unsolved: 410 | Queue: 0 | Processing: 0 | Solved: 590
[1771249654] Unsolved: 390 | Queue: 0 | Processing: 0 | Solved: 610
[1771249655] Unsolved: 380 | Queue: 0 | Processing: 0 | Solved: 620
[1771249656] Unsolved: 370 | Queue: 0 | Processing: 0 | Solved: 630
[1771249658] Unsolved: 350 | Queue: 0 | Processing: 0 | Solved: 650
[1771249659] Unsolved: 340 | Queue: 0 | Processing: 0 | Solved: 660
[1771249660] Unsolved: 320 | Queue: 0 | Processing: 0 | Solved: 680
[1771249661] Unsolved: 320 | Queue: 0 | Processing: 0 | Solved: 680
[1771249662] Unsolved: 320 | Queue: 0 | Processing: 0 | Solved: 680
[1771249663] Unsolved: 310 | Queue: 0 | Processing: 0 | Solved: 690
[1771249665] Unsolved: 300 | Queue: 0 | Processing: 0 | Solved: 700
[1771249666] Unsolved: 300 | Queue: 0 | Processing: 0 | Solved: 700
[1771249667] Unsolved: 250 | Queue: 0 | Processing: 0 | Solved: 750
[1771249668] Unsolved: 240 | Queue: 0 | Processing: 0 | Solved: 760
[1771249669] Unsolved: 240 | Queue: 0 | Processing: 0 | Solved: 760
[1771249670] Unsolved: 230 | Queue: 0 | Processing: 0 | Solved: 770
[1771249671] Unsolved: 210 | Queue: 0 | Processing: 0 | Solved: 790
[1771249673] Unsolved: 190 | Queue: 0 | Processing: 0 | Solved: 810
[1771249674] Unsolved: 190 | Queue: 0 | Processing: 0 | Solved: 810
[1771249675] Unsolved: 170 | Queue: 0 | Processing: 0 | Solved: 830
[1771249676] Unsolved: 170 | Queue: 0 | Processing: 0 | Solved: 830
[1771249677] Unsolved: 170 | Queue: 0 | Processing: 0 | Solved: 830
[1771249678] Unsolved: 160 | Queue: 0 | Processing: 0 | Solved: 840
[1771249680] Unsolved: 160 | Queue: 0 | Processing: 0 | Solved: 840
[1771249681] Unsolved: 150 | Queue: 0 | Processing: 0 | Solved: 850
[1771249682] Unsolved: 150 | Queue: 0 | Processing: 0 | Solved: 850
[1771249683] Unsolved: 150 | Queue: 0 | Processing: 0 | Solved: 850
[1771249684] Unsolved: 140 | Queue: 0 | Processing: 0 | Solved: 860
[1771249685] Unsolved: 140 | Queue: 0 | Processing: 0 | Solved: 860
[1771249686] Unsolved: 140 | Queue: 0 | Processing: 0 | Solved: 860
[1771249688] Unsolved: 120 | Queue: 0 | Processing: 0 | Solved: 880
[1771249689] Unsolved: 120 | Queue: 0 | Processing: 0 | Solved: 880
[1771249690] Unsolved: 120 | Queue: 0 | Processing: 0 | Solved: 880
[1771249691] Unsolved: 120 | Queue: 0 | Processing: 0 | Solved: 880
[1771249692] Unsolved: 120 | Queue: 0 | Processing: 0 | Solved: 880
[1771249693] Unsolved: 120 | Queue: 0 | Processing: 0 | Solved: 880
[1771249695] Unsolved: 120 | Queue: 0 | Processing: 0 | Solved: 880
[1771249696] Unsolved: 110 | Queue: 0 | Processing: 0 | Solved: 890
[1771249697] Unsolved: 110 | Queue: 0 | Processing: 0 | Solved: 890
[1771249698] Unsolved: 110 | Queue: 0 | Processing: 0 | Solved: 890
[1771249699] Unsolved: 110 | Queue: 0 | Processing: 0 | Solved: 890
[1771249700] Unsolved: 100 | Queue: 0 | Processing: 0 | Solved: 900
[1771249702] Unsolved: 100 | Queue: 0 | Processing: 0 | Solved: 900
[1771249703] Unsolved: 100 | Queue: 0 | Processing: 0 | Solved: 900
[1771249704] Unsolved: 100 | Queue: 0 | Processing: 0 | Solved: 900
[1771249705] Unsolved: 100 | Queue: 0 | Processing: 0 | Solved: 900
[1771249706] Unsolved: 90 | Queue: 0 | Processing: 0 | Solved: 910
[1771249707] Unsolved: 90 | Queue: 0 | Processing: 0 | Solved: 910
[1771249709] Unsolved: 80 | Queue: 0 | Processing: 0 | Solved: 920
[1771249710] Unsolved: 80 | Queue: 0 | Processing: 0 | Solved: 920
[1771249711] Unsolved: 80 | Queue: 0 | Processing: 0 | Solved: 920
[1771249712] Unsolved: 80 | Queue: 0 | Processing: 0 | Solved: 920
[1771249713] Unsolved: 80 | Queue: 0 | Processing: 0 | Solved: 920
[1771249714] Unsolved: 80 | Queue: 0 | Processing: 0 | Solved: 920
[1771249716] Unsolved: 80 | Queue: 0 | Processing: 0 | Solved: 920
[1771249717] Unsolved: 80 | Queue: 0 | Processing: 0 | Solved: 920
[1771249718] Unsolved: 80 | Queue: 0 | Processing: 0 | Solved: 920
[1771249719] Unsolved: 80 | Queue: 0 | Processing: 0 | Solved: 920
[1771249720] Unsolved: 80 | Queue: 0 | Processing: 0 | Solved: 920
[1771249722] Unsolved: 80 | Queue: 0 | Processing: 0 | Solved: 920
[1771249723] Unsolved: 70 | Queue: 0 | Processing: 0 | Solved: 930
[1771249724] Unsolved: 70 | Queue: 0 | Processing: 0 | Solved: 930
[1771249725] Unsolved: 70 | Queue: 0 | Processing: 0 | Solved: 930
[1771249726] Unsolved: 70 | Queue: 0 | Processing: 0 | Solved: 930
[1771249727] Unsolved: 60 | Queue: 0 | Processing: 0 | Solved: 940
[1771249729] Unsolved: 50 | Queue: 0 | Processing: 0 | Solved: 950
[1771249730] Unsolved: 50 | Queue: 0 | Processing: 0 | Solved: 950
[1771249731] Unsolved: 50 | Queue: 0 | Processing: 0 | Solved: 950
[1771249732] Unsolved: 50 | Queue: 0 | Processing: 0 | Solved: 950
[1771249733] Unsolved: 50 | Queue: 0 | Processing: 0 | Solved: 950
[1771249734] Unsolved: 40 | Queue: 0 | Processing: 0 | Solved: 960
[1771249736] Unsolved: 40 | Queue: 0 | Processing: 0 | Solved: 960
[1771249737] Unsolved: 30 | Queue: 0 | Processing: 0 | Solved: 970
[1771249738] Unsolved: 30 | Queue: 0 | Processing: 0 | Solved: 970
[1771249739] Unsolved: 30 | Queue: 0 | Processing: 0 | Solved: 970
[1771249740] Unsolved: 30 | Queue: 0 | Processing: 0 | Solved: 970
[1771249741] Unsolved: 30 | Queue: 0 | Processing: 0 | Solved: 970
[1771249743] Unsolved: 30 | Queue: 0 | Processing: 0 | Solved: 970
[1771249744] Unsolved: 30 | Queue: 0 | Processing: 0 | Solved: 970
[1771249745] Unsolved: 30 | Queue: 0 | Processing: 0 | Solved: 970
[1771249746] Unsolved: 20 | Queue: 0 | Processing: 0 | Solved: 980
[1771249747] Unsolved: 20 | Queue: 0 | Processing: 0 | Solved: 980
[1771249749] Unsolved: 20 | Queue: 0 | Processing: 0 | Solved: 980
[1771249750] Unsolved: 20 | Queue: 0 | Processing: 0 | Solved: 980
[1771249751] Unsolved: 10 | Queue: 0 | Processing: 0 | Solved: 990
[1771249752] Unsolved: 10 | Queue: 0 | Processing: 0 | Solved: 990
[1771249753] Unsolved: 10 | Queue: 0 | Processing: 0 | Solved: 990
[1771249754] Unsolved: 10 | Queue: 0 | Processing: 0 | Solved: 990
[1771249756] Unsolved: 10 | Queue: 0 | Processing: 0 | Solved: 990
[1771249757] Unsolved: 10 | Queue: 0 | Processing: 0 | Solved: 990
[1771249758] Unsolved: 10 | Queue: 0 | Processing: 0 | Solved: 990
[1771249759] Unsolved: 10 | Queue: 0 | Processing: 0 | Solved: 990
[1771249760] Unsolved: 10 | Queue: 0 | Processing: 0 | Solved: 990
[1771249761] Unsolved: 10 | Queue: 0 | Processing: 0 | Solved: 990
[1771249763] Unsolved: 10 | Queue: 0 | Processing: 0 | Solved: 990
[1771249764] Unsolved: 10 | Queue: 0 | Processing: 0 | Solved: 990
[1771249765] Unsolved: 10 | Queue: 0 | Processing: 0 | Solved: 990
[1771249766] Unsolved: 10 | Queue: 0 | Processing: 0 | Solved: 990
[1771249767] Unsolved: 10 | Queue: 0 | Processing: 0 | Solved: 990
[1771249768] Unsolved: 10 | Queue: 0 | Processing: 0 | Solved: 990
[1771249769] Unsolved: 10 | Queue: 0 | Processing: 0 | Solved: 990
[1771249771] Unsolved: 0 | Queue: 0 | Processing: 0 | Solved: 1000
